nta_code,nta_name,borough,cluster,cluster_name,urban_pressure_score,pressure_level,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,poverty_rate_pct,rent_burden_rate_pct
SI0106,Port Richmond,Staten Island,2,Lower-pressure residential neighborhoods,37.91912658771505,High,1.2442572741194486,10.67378252168112,48.19104134762634,40.05551301684533,22.1,67.7
MN0302,Lower East Side,Manhattan,2,Lower-pressure residential neighborhoods,34.80625598015343,High,17.025614331880192,5.163193804167435,59.57880582124189,49.51525798685666,22.6,48.8
QN1202,South Jamaica,Queens,2,Lower-pressure residential neighborhoods,34.674419416060374,High,0.9051664113633198,16.597510373443985,48.15949496356125,47.2775379473611,12.7,59.4
BX0904,Parkchester,Bronx,2,Lower-pressure residential neighborhoods,34.645450240410874,High,0.8041278563291563,10.881956679448649,73.27615090799438,48.95128325403739,22.4,55.2
BK1202,Borough Park,Brooklyn,2,Lower-pressure residential neighborhoods,34.50183448501378,High,0.428603654410106,3.3056736153275312,25.547033611549743,52.41371531694113,32.4,64.4
QN1304,Cambria Heights,Queens,2,Lower-pressure residential neighborhoods,33.92977466247906,High,1.2014417300760913,26.82403433476395,17.020424509411292,11.814177012414898,6.1,61.9
MN0301,Chinatown-Two Bridges,Manhattan,2,Lower-pressure residential neighborhoods,33.83576720023561,High,13.593334880961592,0.0,35.3633057339627,50.06577420103691,30.2,54.8
QN1205,St. Albans,Queens,2,Lower-pressure residential neighborhoods,33.4914624011764,Medium,1.5160265665607855,23.671497584541065,24.527144094715567,20.8273173548946,9.0,55.7
QN1201,Jamaica,Queens,2,Lower-pressure residential neighborhoods,33.06235923183711,Medium,0.7497166768372417,7.317780031879438,60.34347484962078,48.295702205561845,18.4,63.1
QN1303,Queens Village,Queens,2,Lower-pressure residential neighborhoods,32.75133103327729,Medium,1.0150657121487336,17.632241813602015,23.827331979912383,14.958863126402393,8.9,65.0
BK1403,Midwood,Brooklyn,2,Lower-pressure residential neighborhoods,32.52577024085206,Medium,1.5727288811999922,4.89841805187505,70.06507165745965,107.84988302828947,16.9,56.7
BX0903,Castle Hill-Unionport,Bronx,2,Lower-pressure residential neighborhoods,32.107864491605646,Medium,0.46402445681842996,0.0,82.05044218801179,77.76503985151217,22.9,61.2
BX1202,Eastchester-Edenwald-Baychester,Bronx,2,Lower-pressure residential neighborhoods,31.91161552077542,Medium,0.8467081867273787,12.612970503525673,48.77039155549702,46.155004045383556,18.2,54.4
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,2,Lower-pressure residential neighborhoods,31.416945499527355,Medium,4.885631801021542,0.0,97.6632862042589,120.26550201100501,15.8,53.5
MN0703,Upper West Side-Manhattan Valley,Manhattan,2,Lower-pressure residential neighborhoods,31.400068371796547,Medium,13.146379883705102,0.0,93.2887341747535,101.51494525582933,16.6,47.0
QN1203,Baisley Park,Queens,2,Lower-pressure residential neighborhoods,31.261893062227784,Medium,2.1112219567083494,16.538688718251624,23.269842006356864,24.940259378697537,11.6,58.4
BX1003,Pelham Bay-Country Club-City Island,Bronx,2,Lower-pressure residential neighborhoods,31.19577692649273,Medium,1.1928429423459246,9.557183816502071,64.12434484005061,42.03867702873667,12.3,61.0
QN1307,Rosedale,Queens,2,Lower-pressure residential neighborhoods,30.83746987188782,Medium,2.033046242560899,14.875418371141688,38.99752338003179,16.96669500609914,9.2,61.1
BX1203,Wakefield-Woodlawn,Bronx,2,Lower-pressure residential neighborhoods,29.551650802111862,Medium,0.7847556190514517,0.0,108.47737287965069,92.88287019337184,17.0,54.7
MN0901,Morningside Heights,Manhattan,2,Lower-pressure residential neighborhoods,29.541420639028875,Medium,9.504001684919967,3.215434083601286,42.25463352990732,48.941659646166805,24.2,49.4
QN1206,Hollis,Queens,2,Lower-pressure residential neighborhoods,29.37853547452869,Medium,0.7916611690196597,16.036308623298034,49.39086071161543,34.43726085235519,10.0,52.7
QN0905,Woodhaven,Queens,2,Lower-pressure residential neighborhoods,29.002656567429614,Medium,2.1125734544218346,16.062823487417454,38.87620805206158,23.991064057112332,10.1,53.3
QN0902,Richmond Hill,Queens,2,Lower-pressure residential neighborhoods,28.72062118573088,Medium,1.4112251198071326,15.39906103286385,38.60288713139094,33.163790315467615,10.7,52.7
BK1102,Bath Beach,Brooklyn,2,Lower-pressure residential neighborhoods,28.407155145942557,Medium,0.38928177512489454,3.869969040247678,49.01706351780964,64.81541555829494,15.3,60.9
BK1302,Coney Island-Sea Gate,Brooklyn,2,Lower-pressure residential neighborhoods,28.37638042277067,Medium,0.552591463414634,0.0,33.6890243902439,47.08460365853658,27.6,59.8
QN1001,South Ozone Park,Queens,2,Lower-pressure residential neighborhoods,28.36587719573928,Medium,0.4074375879694792,12.097922003985198,24.26105637454626,21.74235128528039,11.7,60.9
BK0501,Cypress Hills,Brooklyn,2,Lower-pressure residential neighborhoods,28.26471682305909,Medium,2.702636897080665,0.0,70.2685593240973,93.228798909206,17.3,55.2
QN1402,Rockaway Beach-Arverne-Edgemere,Queens,2,Lower-pressure residential neighborhoods,28.054302134193975,Medium,3.297298570385548,0.0,49.836312678113,45.43206387338373,25.6,55.8
QN0706,Queensboro Hill,Queens,2,Lower-pressure residential neighborhoods,27.684797146055278,Medium,3.4201790564329544,5.330490405117271,9.304898903530832,12.12151695000503,14.5,73.1
QN0707,Flushing-Willets Point,Queens,2,Lower-pressure residential neighborhoods,27.442794527115687,Medium,2.6273951970546396,0.0,39.996652999748974,28.58338214375366,21.8,62.5
QN0402,Corona,Queens,2,Lower-pressure residential neighborhoods,27.440741518099298,Medium,0.9352453905762893,7.8944044461285845,30.99670437338559,38.998248270538284,19.0,54.6
QN0705,East Flushing,Queens,2,Lower-pressure residential neighborhoods,27.283635345591794,Medium,3.0944300259532844,2.8846153846153846,26.21947161775471,20.396619418380247,16.1,65.7
BK0702,Sunset Park (West),Brooklyn,2,Lower-pressure residential neighborhoods,26.943181122995448,Medium,5.766945272468681,0.0,59.34498412141758,94.82338730103064,17.5,50.2
QN0102,Old Astoria-Hallets Point,Queens,2,Lower-pressure residential neighborhoods,26.23475510274979,Medium,7.236744941662975,0.0,57.820115197164384,66.38605818933688,19.1,49.6
BK1801,Flatlands,Brooklyn,2,Lower-pressure residential neighborhoods,26.19887312773364,Medium,1.3327205882352942,9.872773536895675,39.07781862745098,50.99571078431372,12.3,51.8
QN0401,Elmhurst,Queens,2,Lower-pressure residential neighborhoods,26.10366073614635,Medium,2.4492859541351453,2.9193427308366,73.43907401189088,33.43077804333656,12.0,58.7
QN1002,Ozone Park,Queens,2,Lower-pressure residential neighborhoods,25.834653843451356,Medium,1.372448104306056,13.712718546451834,21.57316863956082,20.543832561331275,10.4,53.5
BK1803,Canarsie,Brooklyn,2,Lower-pressure residential neighborhoods,25.79813624533332,Medium,1.7362367069377125,12.01872685346936,31.722491499674454,34.82119173358412,13.7,49.1
BK1502,Madison,Brooklyn,2,Lower-pressure residential neighborhoods,25.715599170191233,Medium,1.4306510717333467,4.301075268817204,54.414939009085884,52.73329652125897,16.5,52.8
BX0902,Soundview-Clason Point,Bronx,2,Lower-pressure residential neighborhoods,25.20267695190071,Medium,0.6551469986078127,0.0,44.440804738896624,34.80468430104004,24.8,55.3
BK1203,Kensington,Brooklyn,2,Lower-pressure residential neighborhoods,25.053675871975102,Medium,4.158770267424721,0.0,70.38323857654242,95.86228679722046,11.9,51.2
QN0502,Ridgewood,Queens,2,Lower-pressure residential neighborhoods,24.814326178618547,Medium,6.466147814383522,2.6458988567720034,53.806542220141615,81.92404470712154,13.0,47.4
BK1002,Dyker Heights,Brooklyn,2,Lower-pressure residential neighborhoods,24.708202759750016,Medium,0.3236004281482588,3.1860970311368577,24.444278495506936,39.03119010280537,19.0,57.5
BK1101,Bensonhurst,Brooklyn,2,Lower-pressure residential neighborhoods,24.67659011269546,Medium,0.85318017708691,0.0,48.870576728990436,69.30528243385253,18.0,55.0
QN0303,North Corona,Queens,2,Lower-pressure residential neighborhoods,24.60111541740395,Medium,0.7054851470180654,4.183535762483131,31.746831615812944,45.629771473204165,17.2,55.0
BK1501,Gravesend (East)-Homecrest,Brooklyn,2,Lower-pressure residential neighborhoods,24.40522820536736,Medium,1.210464662241312,0.0,50.91761030847326,54.82233502538071,17.0,56.6
QN0901,Kew Gardens,Queens,2,Lower-pressure residential neighborhoods,24.265059944266795,Medium,1.4329580348004094,7.1758072783188105,70.95189355168885,45.404298874104406,8.1,51.5
BK1103,Gravesend (West),Brooklyn,2,Lower-pressure residential neighborhoods,24.24351452207647,Medium,0.4837235967536772,0.0,46.16872995682319,54.24870559148646,20.2,54.8
QN0302,East Elmhurst,Queens,2,Lower-pressure residential neighborhoods,24.172453412901728,Medium,4.0313872291411705,4.048582995951417,30.99128932402275,37.506299042545535,14.0,54.9
BX1102,Morris Park,Bronx,2,Lower-pressure residential neighborhoods,24.044107710844624,Medium,0.7450258567797353,0.0,72.57428346042597,42.90472434043299,12.8,58.6
QN0301,Jackson Heights,Queens,2,Lower-pressure residential neighborhoods,23.765244852296867,Medium,2.381607638080318,4.318640567056283,36.5073988610623,36.15809640747719,14.0,54.7
QN0704,Murray Hill-Broadway Flushing,Queens,2,Lower-pressure residential neighborhoods,23.72118813466821,Medium,1.2811942959001783,0.0,33.71954842543077,21.48321449792038,17.1,62.0
QN0903,South Richmond Hill,Queens,2,Lower-pressure residential neighborhoods,23.54644872789544,Medium,1.2805190370496842,0.0,36.153320812702745,33.933754481816635,12.5,63.9
BK1204,Mapleton-Midwood (West),Brooklyn,2,Lower-pressure residential neighborhoods,23.49978545882958,Medium,0.7534983853606028,0.0,31.054897739504845,51.3724434876211,18.1,57.5
BK0504,Spring Creek-Starrett City,Brooklyn,2,Lower-pressure residential neighborhoods,22.65455963419071,Medium,0.12463388795413473,0.0,31.345422820464883,23.493487879354394,24.8,53.7
QN0601,Rego Park,Queens,2,Lower-pressure residential neighborhoods,22.478212269355392,Medium,3.1186440677966103,3.313166234514549,32.30508474576271,28.508474576271187,12.7,55.5
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens,2,Lower-pressure residential neighborhoods,22.141510709600123,Medium,7.855402407535368,0.0,23.63894243008328,35.02200240026185,20.7,47.7
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,2,Lower-pressure residential neighborhoods,21.84237201155559,Medium,0.6606474344857961,0.0,64.17088746972033,76.76723188724951,14.8,48.6
QN0202,Sunnyside,Queens,2,Lower-pressure residential neighborhoods,21.825065626253693,Medium,7.8304249900014735,0.0,54.45513292777907,39.99410613172795,11.9,50.0
BK1301,Gravesend (South),Brooklyn,2,Lower-pressure residential neighborhoods,21.799512827150778,Low,0.8203445447087777,0.0,24.324999108321148,23.64732318008346,18.1,58.4
QN0801,Kew Gardens Hills,Queens,2,Lower-pressure residential neighborhoods,21.653285123439485,Low,0.7611422772249317,5.854610505773296,30.191976996588956,21.19922194344995,11.9,54.3
BK1001,Bay Ridge,Brooklyn,2,Lower-pressure residential neighborhoods,21.18549432154,Low,2.2970447864224424,4.074322811730467,61.81787886361743,50.83252996274741,11.7,45.8
QN0104,Astoria (East)-Woodside (North),Queens,2,Lower-pressure residential neighborhoods,20.961708089176543,Low,9.709770955813891,0.0,38.174031018062834,44.77135484557474,10.8,48.9
QN0904,Ozone Park (North),Queens,2,Lower-pressure residential neighborhoods,20.90556009398911,Low,1.0259528061709162,0.0,36.28833073678611,43.12801611125888,15.4,54.3
